Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
9/28/2020,1492611,-68.7%,955300,-50%,89700,-73%,63800,-78%,17678,-25.9%,753159,-13.3%
9/27/2020,846184,-66.7%,586900,-46%,40000,-60%,45200,-57%,9491,-49.3%,731091,-20.4%
9/26/2020,1120175,-65.1%,756300,-46%,47200,-60%,66800,-56%,12128,-28.8%,824515,-15.1%
9/25/2020,1765299,-70.0%,1077600,-53%,92500,-72%,67900,-76%,21233,-25.9%,912599,-10.7%
9/24/2020,1726180,-71.5%,1070500,-55%,89100,-73%,62400,-78%,21554,-29.6%,857578,-11.9%
9/23/2020,1739043,-71.3%,1093600,-55%,89000,-73%,62300,-78%,22501,-29.2%,834469,-12.0%
9/22/2020,1702325,-71.7%,1061900,-55%,87400,-73%,61000,-79%,21103,-29.8%,808351,-12.4%
9/21/2020,1627636,-71.7%,1021200,-56%,89700,-73%,61800,-79%,19488,-30.5%,788505,-14.6%
9/20/2020,828365,-68.3%,585500,-48%,39000,-61%,41800,-60%,9269,-50.5%,705596,-24.5%
9/19/2020,1137948,-65.8%,761600,-47%,46800,-60%,64600,-58%,12246,-30.7%,802614,-17.5%
9/18/2020,1728810,-71.1%,1074200,-54%,90700,-72%,65700,-77%,20702,-28.3%,894931,-11.8%
9/17/2020,1695985,-71.9%,1060400,-56%,86900,-73%,61500,-79%,21005,-32.2%,848024,-13.5%
9/16/2020,1690405,-71.8%,1075300,-56%,87000,-73%,60700,-79%,22070,-31.3%,816708,-13.6%
9/15/2020,1681774,-71.8%,1087600,-55%,87000,-73%,60800,-79%,20763,-32.4%,815700,-12.4%
9/14/2020,1607896,-71.7%,1044500,-56%,89500,-73%,60900,-79%,19888,-29.6%,799573,-13.9%
9/13/2020,796744,-68.9%,577400,-48%,36700,-63%,38100,-64%,9315,-49.6%,703809,-23.5%
9/12/2020,1083727,-65.4%,759700,-45%,44500,-62%,60500,-60%,12349,-26.9%,800190,-14.8%
9/11/2020,1693776,-71.2%,1072600,-54%,88600,-73%,65100,-77%,20809,-29.4%,895766,-11.9%
9/10/2020,1547065,-74.0%,989000,-59%,82100,-75%,57100,-80%,20181,-35.1%,801431,-17.5%
9/9/2020,1613662,-72.9%,1081700,-56%,86100,-74%,61500,-79%,21801,-30.9%,825412,-11.9%
9/8/2020,1559312,-73.6%,1032900,-57%,90600,-72%,63300,-78%,19806,-36.2%,833996,-10.1%
9/7/2020,872174,-60.9%,650300,-31%,80000,-76%,40300,-86%,9261,-3.0%,697865,-24.0%
9/6/2020,819600,-67.4%,580400,-47%,44700,-55%,45400,-57%,10160,-46.3%,753036,-16.2%
9/5/2020,1013746,-68.5%,740100,-48%,50500,-57%,64700,-58%,12118,-28.5%,798823,-14.5%
9/4/2020,1571533,-72.1%,1034500,-52%,88300,-73%,64200,-78%,20223,-29.6%,936602,-3.6%
9/3/2020,1532512,-73.4%,1030700,-55%,82600,-75%,58000,-80%,19992,-34.0%,869126,-9.1%
9/2/2020,1491161,-72.9%,994000,-54%,77600,-76%,53000,-82%,19990,-34.4%,810144,-13.6%
9/1/2020,1472491,-72.3%,996600,-53%,76500,-77%,53100,-82%,18929,-33.9%,809685,-14.9%
8/31/2020,1400448,-73.6%,987400,-54%,78100,-75%,52700,-81%,18185,-36.5%,817544,10.3%
8/30/2020,748886,-70.0%,822300,-24%,45100,-57%,41600,-60%,9752,-47.9%,805096,-10.2%
8/29/2020,774465,-73.4%,892800,-33%,37600,-72%,41300,-73%,9814,-40.0%,645956,-31.4%
8/28/2020,1391299,-71.7%,1333400,-33%,76100,-76%,53100,-81%,18845,-29.5%,899892,-13.0%
8/27/2020,1361128,-74.2%,1274100,-39%,73100,-77%,48800,-82%,19271,-31.1%,847285,-17.0%
8/26/2020,1410651,-72.9%,1361400,-33%,76600,-76%,50800,-81%,20659,-28.8%,859625,-9.0%
8/25/2020,1349335,-74.1%,1273400,-38%,73300,-77%,49700,-82%,18682,-33.7%,821597,-12.7%
8/24/2020,1310101,-73.1%,1270700,-34%,75100,-76%,50100,-82%,17643,-30.5%,815665,-11.9%
8/23/2020,672193,-71.2%,783200,-29%,37900,-64%,35300,-66%,8297,-53.2%,737097,-20.6%
8/22/2020,883393,-69.6%,998700,-27%,49100,-63%,51600,-66%,11456,-30.7%,812308,-17.5%
8/21/2020,1390232,-71.5%,1335800,-30%,76100,-76%,53000,-81%,19035,-29.7%,909773,-10.1%
8/20/2020,1413449,-72.3%,1352700,-32%,75600,-76%,50900,-81%,19344,-31.7%,889782,-10.7%
8/19/2020,1294931,-74.5%,1212800,-39%,70100,-78%,47700,-83%,19915,-31.7%,816805,-14.2%
8/18/2020,1372568,-73.1%,1307400,-35%,74200,-76%,47900,-82%,19274,-31.9%,838008,-12.0%
8/17/2020,1307543,-72.9%,1275000,-34%,74500,-76%,49400,-82%,17377,-33.1%,806108,-14.3%
8/16/2020,554980,-75.6%,622000,-43%,29900,-71%,28500,-73%,7902,-55.9%,620686,-31.9%
8/15/2020,861763,-69.9%,1001000,-28%,46800,-65%,51400,-66%,11487,-30.8%,804346,-15.1%
8/14/2020,1358798,-72.9%,1321800,-33%,72900,-77%,50700,-81%,18113,-33.1%,893657,-11.4%
8/13/2020,1294248,-75.7%,1198800,-42%,69200,-78%,46500,-83%,18608,-35.4%,819019,-17.9%
8/12/2020,1302087,-75.2%,1227500,-39%,68300,-78%,46800,-83%,19346,-35.5%,800865,-15.4%
8/11/2020,1322978,-74.3%,1256400,-36%,72400,-77%,46700,-83%,18546,-34.2%,821976,-9.3%
8/10/2020,1278263,-74.6%,1243700,-37%,73500,-76%,46800,-83%,18178,-30.6%,826001,-12.7%
8/9/2020,663642,-73.2%,766700,-30%,37600,-64%,32200,-69%,8287,-53.5%,744618,-18.6%
8/8/2020,834093,-72.4%,962000,-30%,41700,-69%,43600,-71%,10613,-37.6%,730739,-25.3%
8/7/2020,1286635,-75.1%,1256300,-38%,66000,-79%,42400,-84%,17502,-36.1%,844097,-17.5%
8/6/2020,1337819,-75.4%,1241800,-41%,66700,-79%,38800,-86%,19117,-34.2%,847497,-15.3%
8/5/2020,1351026,-74.3%,1305000,-34%,58000,-81%,36900,-86%,18299,-37.7%,847330,-7.5%
8/4/2020,1028686,-80.8%,968100,-54%,36800,-88%,31100,-89%,14924,-48.8%,577415,-38.2%
8/3/2020,1275951,-75.2%,1268300,-38%,70800,-77%,45900,-83%,17594,-34.4%,818732,-13.0%
8/2/2020,590675,-75.9%,707000,-38%,30500,-71%,28100,-73%,7431,-59.8%,648735,-29.9%
8/1/2020,843372,-72.0%,969300,-31%,44400,-67%,48700,-68%,10685,-35.9%,799745,-14.8%
7/31/2020,1260968,-75.9%,1220700,-40%,67600,-79%,50900,-82%,17654,-35.5%,859774,-15.7%
7/30/2020,1272918,-76.7%,1224100,-43%,69000,-78%,48600,-83%,17333,-40.1%,820275,-18.8%
7/29/2020,1298880,-75.8%,1273100,-38%,70000,-78%,48500,-83%,18216,-38.2%,816959,-13.5%
7/28/2020,1244405,-77.0%,1210600,-43%,66700,-79%,45800,-84%,16892,-41.7%,782226,-17.5%
7/27/2020,1206129,-76.6%,1185000,-43%,70100,-78%,45700,-84%,16607,-37.1%,793225,-15.9%
7/26/2020,607452,-75.1%,721100,-36%,36200,-65%,32300,-70%,7429,-59.0%,697533,-26.7%
7/25/2020,817403,-73.2%,967300,-31%,43300,-66%,47600,-69%,10350,-38.7%,769898,-21.8%
7/24/2020,1220649,-77.0%,1134300,-44%,65900,-79%,49000,-83%,17311,-37.3%,826030,-20.4%
7/23/2020,1236427,-77.8%,1180200,-45%,65600,-79%,47000,-83%,17056,-41.9%,791577,-21.9%
7/22/2020,1236384,-77.9%,1189100,-46%,65300,-79%,46700,-83%,17582,-42.1%,784013,-19.9%
7/21/2020,1244544,-76.4%,1204300,-41%,67600,-79%,48000,-83%,16831,-42.1%,792955,-13.3%
7/20/2020,1159163,-77.1%,1130400,-43%,67700,-79%,46800,-83%,15957,-39.4%,770607,-15.6%
7/19/2020,585498,-73.1%,692800,-33%,36400,-65%,29900,-72%,7052,-54.4%,696110,-20.3%
7/18/2020,779722,-70.5%,913700,-28%,41200,-68%,45500,-71%,9785,-34.8%,747445,-19.2%
7/17/2020,1209692,-76.8%,1176200,-43%,64800,-80%,47400,-83%,16401,-39.2%,819471,-20.3%
7/16/2020,1251884,-76.9%,1211800,-41%,66700,-79%,47400,-83%,17230,-40.5%,819850,-16.2%
7/15/2020,1251164,-77.2%,1229000,-42%,66500,-79%,46900,-83%,18149,-40.5%,803399,-15.2%
7/14/2020,1243749,-77.6%,1211300,-44%,66300,-79%,46200,-84%,17081,-43.1%,794838,-16.9%
7/13/2020,1178204,-77.8%,1144100,-45%,66400,-79%,46200,-84%,15928,-41.0%,756123,-20.4%
7/12/2020,628918,-74.2%,727700,-36%,34900,-67%,31800,-70%,7395,-58.9%,703590,-25.9%
7/11/2020,693789,-77.1%,852600,-41%,30100,-76%,35300,-77%,8453,-50.7%,625288,-37.1%
7/10/2020,1032749,-80.9%,926800,-55%,55900,-82%,39700,-86%,15738,-43.4%,712635,-30.0%
7/9/2020,1213851,-77.9%,1195700,-43%,65500,-79%,45500,-84%,17017,-42.6%,818034,-15.7%
7/8/2020,1174733,-78.9%,1114900,-49%,63000,-80%,43400,-85%,16980,-43.5%,758208,-20.9%
7/7/2020,1159588,-78.8%,1118800,-48%,61800,-80%,44100,-84%,16003,-46.3%,749833,-21.0%
7/6/2020,1087178,-78.8%,1030200,-50%,63900,-80%,44300,-84%,14886,-45.0%,750584,-18.8%
7/5/2020,534220,-76.9%,658700,-40%,34600,-67%,30600,-71%,6280,-65.3%,659099,-24.8%
7/4/2020,592295,-77.2%,754900,-41%,38400,-70%,41800,-73%,8391,-42.1%,569212,-28.3%
7/3/2020,853015,-68.7%,968200,-13%,56200,-82%,42900,-85%,10915,-16.2%,713240,-16.6%
7/2/2020,1172848,-77.6%,1178500,-43%,64300,-80%,45500,-84%,15981,-46.6%,881471,14.6%
7/1/2020,1122842,-78.5%,1102200,-47%,56500,-82%,40000,-86%,16451,-45.0%,779409,-22.8%
6/30/2020,1115510,-79.1%,1082000,-48%,58000,-83%,40900,-86%,15291,-48.2%,758785,-19.9%
6/29/2020,1103086,-78.8%,1087500,-47%,63300,-81%,42600,-86%,14705,-44.8%,767165,-19.9%
6/28/2020,536488,-82.3%,641800,-42%,25700,-74%,26200,-76%,5748,-66.3%,623131,-33.2%
6/27/2020,616084,-80.7%,753900,-43%,26800,-78%,34800,-78%,8541,-46.9%,630731,-34.8%
6/26/2020,1104497,-79.8%,1130100,-43%,55600,-83%,41500,-86%,15048,-46.0%,830887,-20.5%
6/25/2020,1081006,-80.9%,1088500,-48%,53400,-84%,38200,-87%,14854,-49.8%,781618,-25.2%
6/24/2020,1070527,-81.5%,1099900,-51%,52400,-84%,38000,-87%,15155,-50.7%,752750,-25.9%
6/23/2020,1053005,-81.0%,1086200,-48%,52900,-84%,37600,-87%,15069,-49.5%,744822,-22.1%
6/22/2020,1002073,-81.5%,1016200,-52%,53900,-84%,38400,-87%,13314,-51.0%,733291,-25.2%
6/21/2020,449497,-82.9%,592400,-47%,27100,-72%,27600,-75%,6328,-66.2%,654914,-32.4%
6/20/2020,576097,-82.6%,768500,-45%,29000,-76%,36000,-77%,8185,-53.0%,666226,-33.6%
6/19/2020,988680,-82.2%,1035300,-45%,50200,-85%,38800,-87%,13868,-51.4%,797519,-22.3%
6/18/2020,944318,-83.4%,977700,-52%,47900,-86%,35800,-88%,13808,-53.9%,729487,-27.0%
6/17/2020,950318,-83.4%,977200,-55%,47200,-86%,36300,-88%,14595,-53.2%,709680,-26.8%
6/16/2020,934545,-83.3%,961000,-54%,46900,-86%,34100,-88%,12939,-57.1%,695359,-25.3%
6/15/2020,898925,-83.5%,940900,-57%,47500,-86%,34500,-88%,12953,-52.5%,674785,-29.0%
6/14/2020,430446,-81.5%,571200,-45%,20900,-79%,22700,-79%,5195,-72.1%,563725,-39.5%
6/13/2020,545333,-83.0%,706800,-50%,25400,-79%,32400,-80%,7794,-56.6%,631065,-37.5%
6/12/2020,898314,-84.3%,966300,-57%,45100,-86%,33700,-89%,13224,-54.2%,765492,-26.5%
6/11/2020,819873,-85.6%,830100,-62%,41000,-88%,29100,-90%,12514,-57.6%,656696,-32.4%
6/10/2020,858782,-85.4%,914700,-61%,43100,-87%,30800,-90%,13616,-57.5%,680270,-30.6%
6/9/2020,843968,-85.3%,916900,-59%,42300,-87%,29500,-90%,12869,-56.2%,680462,-29.1%
6/8/2020,806138,-84.7%,863400,-58%,42600,-87%,30500,-90%,11957,-54.1%,644830,-26.5%
6/7/2020,378085,-85.4%,531900,-51%,16800,-83%,18500,-83%,4650,-74.1%,538419,-39.6%
6/6/2020,464207,-85.8%,648000,-54%,18100,-85%,23600,-85%,6591,-63.1%,551793,-43.0%
6/5/2020,704825,-87.6%,772900,-65%,33500,-90%,25200,-91%,11698,-59.5%,643562,-37.6%
6/4/2020,728018,-87.3%,797700,-63%,29800,-91%,25500,-91%,12000,-59.8%,650868,-35.2%
6/3/2020,683037,-88.1%,741200,-68%,32500,-90%,23500,-92%,11962,-61.3%,582624,-39.7%
6/2/2020,695276,-87.4%,724400,-66%,33800,-90%,24600,-92%,11206,-62.2%,579412,-39.1%
6/1/2020,688520,-87.6%,764300,-66%,34300,-90%,24500,-92%,10760,-62.2%,595060,-37.8%
5/31/2020,344428,-86.4%,468300,-57%,13600,-86%,14700,-86%,4216,-76.7%,495488,-44.7%
5/30/2020,426755,-86.5%,622000,-56%,15600,-87%,20300,-87%,6143,-64.6%,537180,-44.4%
5/29/2020,658353,-88.6%,720800,-67%,25100,-92%,21200,-93%,10185,-63.5%,598608,-43.0%
5/28/2020,659248,-88.5%,710800,-68%,25200,-92%,20400,-93%,10030,-65.0%,584629,-40.1%
5/27/2020,675705,-88.1%,719200,-67%,26500,-92%,21000,-93%,11088,-62.3%,601140,-36.6%
5/26/2020,657939,-87.9%,709000,-67%,26700,-92%,21800,-92%,9875,-65.1%,587270,-36.6%
5/25/2020,394359,-84.9%,531600,-54%,19300,-94%,19000,-93%,5428,-49.7%,445015,-43.5%
5/24/2020,320376,-87.4%,461200,-57%,11900,-88%,14100,-86%,4117,-77.7%,461171,-47.4%
5/23/2020,336250,-88.8%,460700,-65%,11000,-91%,14000,-91%,5550,-65.0%,394091,-56.4%
5/22/2020,634929,-88.3%,690200,-69%,22800,-93%,19900,-93%,9782,-64.8%,626984,-40.4%
5/21/2020,630367,-88.9%,655300,-70%,22600,-93%,19200,-93%,9731,-67.3%,585553,-42.2%
5/20/2020,624793,-89.4%,654800,-72%,22200,-93%,18500,-94%,10224,-67.3%,542409,-45.3%
5/19/2020,611951,-89.6%,643600,-72%,21600,-93%,18700,-93%,9290,-69.1%,524483,-45.9%
5/18/2020,596505,-89.3%,624200,-72%,22100,-93%,19200,-93%,8969,-67.5%,505315,-47.7%
5/17/2020,287755,-89.0%,413500,-63%,8800,-91%,3300,-97%,3577,-80.9%,391606,-58.7%
5/16/2020,361329,-89.4%,530600,-63%,11100,-91%,18400,-88%,5947,-66.3%,477098,-52.1%
5/15/2020,588784,-89.7%,671500,-70%,20100,-94%,45300,-84%,9473,-66.9%,562991,-46.6%
5/14/2020,568315,-90.4%,616000,-74%,19300,-94%,16400,-94%,8855,-70.6%,520395,-49.0%
5/13/2020,566333,-90.4%,611300,-74%,19400,-94%,17200,-94%,9437,-70.5%,509243,-47.9%
5/12/2020,554286,-90.4%,594900,-74%,19000,-94%,16700,-94%,8271,-72.1%,488406,-47.9%
5/11/2020,521702,-90.4%,553300,-74%,18300,-94%,16700,-94%,7636,-71.0%,458042,-49.4%
5/10/2020,272353,-86.9%,386000,-54%,8000,-92%,9200,-91%,3962,-79.8%,415868,-51.2%
5/9/2020,317372,-90.1%,462400,-68%,7700,-94%,11100,-93%,5055,-72.2%,371426,-62.6%
5/8/2020,526865,-90.7%,573700,-75%,15700,-95%,15200,-95%,8656,-69.6%,483831,-52.6%
5/7/2020,536003,-90.9%,605600,-74%,16100,-95%,16200,-94%,8509,-72.4%,488836,-50.5%
5/6/2020,509646,-91.3%,538800,-78%,14500,-95%,14700,-95%,8832,-72.3%,444179,-53.8%
5/5/2020,522979,-91.0%,583400,-75%,13300,-96%,15500,-95%,8445,-72.7%,462086,-50.6%
5/4/2020,512763,-90.9%,578300,-75%,11200,-97%,15800,-94%,8287,-70.7%,447424,-51.8%
5/3/2020,259199,-88.9%,375900,-55%,3300,-97%,7600,-93%,3263,-81.4%,353314,-55.7%
5/2/2020,326354,-89.9%,478600,-66%,4000,-97%,10900,-93%,5493,-68.8%,401938,-57.0%
5/1/2020,495312,-91.4%,555300,-75%,6200,-98%,12400,-96%,8332,-71.0%,445621,-55.9%
4/30/2020,466633,-92.1%,488800,-79%,9300,-97%,14400,-95%,7253,-75.5%,405169,-58.8%
4/29/2020,478589,-91.8%,519600,-78%,9100,-97%,14800,-95%,7844,-74.5%,410502,-56.9%
4/28/2020,490073,-91.5%,555600,-76%,9200,-97%,15400,-95%,7542,-74.5%,436347,-53.0%
4/27/2020,463700,-91.7%,518400,-77%,8800,-97%,15000,-95%,6922,-74.6%,384124,-57.6%
4/26/2020,219096,-90.9%,293500,-70%,1900,-98%,5400,-95%,2506,-85.7%,231541,-72.4%
4/25/2020,295836,-90.9%,430800,-68%,2900,-97%,9100,-94%,4719,-71.2%,350300,-62.0%
4/24/2020,444644,-91.2%,475400,-73%,7800,-97%,13200,-95%,7040,-72.3%,386935,-57.1%
4/23/2020,454300,-91.7%,487300,-75%,8400,-97%,13800,-95%,6969,-75.1%,386938,-58.9%
4/22/2020,459574,-91.5%,518900,-74%,8700,-97%,14100,-95%,7496,-74.4%,398703,-57.7%
4/21/2020,422860,-92.2%,450900,-78%,8300,-97%,13700,-95%,6613,-76.1%,356099,-61.8%
4/20/2020,438622,-91.1%,498700,-73%,8900,-97%,14800,-95%,7050,-70.5%,371776,-59.6%
4/19/2020,224751,-90.4%,318100,-68%,2200,-98%,6000,-94%,2742,-85.8%,276406,-68.6%
4/18/2020,254792,-91.0%,352000,-71%,2400,-98%,7200,-95%,4202,-71.6%,254735,-69.8%
4/17/2020,433106,-90.9%,470300,-73%,8300,-97%,13500,-95%,7048,-71.2%,378350,-60.8%
4/16/2020,421013,-92.9%,447000,-80%,8500,-97%,13800,-95%,6563,-77.8%,346342,-65.4%
4/15/2020,419851,-93.0%,454100,-81%,8600,-97%,13800,-95%,6928,-78.0%,340213,-64.9%
4/14/2020,430946,-92.7%,470900,-80%,8800,-97%,14100,-95%,6585,-78.1%,356104,-62.4%
4/13/2020,363961,-93.5%,347800,-84%,8200,-97%,13000,-95%,6205,-77.8%,284609,-68.7%
4/12/2020,198693,-92.0%,279100,-72%,2200,-98%,5100,-95%,2525,-86.4%,217871,-74.4%
4/11/2020,257467,-92.2%,378200,-73%,2700,-98%,7600,-95%,4235,-76.0%,254755,-73.1%
4/10/2020,400947,-93.0%,414100,-81%,8200,-97%,13000,-95%,5378,-81.5%,314100,-68.6%
4/9/2020,405325,-93.0%,401900,-83%,8400,-97%,12900,-96%,6243,-80.1%,303481,-68.8%
4/8/2020,428206,-92.7%,431700,-82%,9000,-97%,13500,-95%,6950,-78.3%,324882,-65.8%
4/7/2020,435718,-92.4%,441000,-81%,9300,-97%,14100,-95%,7041,-76.7%,335470,-63.3%
4/6/2020,446273,-92.0%,454900,-80%,10100,-97%,14400,-95%,7093,-75.0%,335769,-63.1%
4/5/2020,227603,-90.9%,299600,-70%,3000,-97%,5600,-95%,2763,-85.6%,209152,-76.6%
4/4/2020,282703,-91.4%,383400,-73%,3700,-97%,8100,-95%,4375,-75.5%,243323,-74.0%
4/3/2020,484200,-91.5%,483800,-78%,9700,-97%,13200,-95%,7794,-72.7%,340273,-65.1%
4/2/2020,486468,-91.8%,472700,-80%,10100,-97%,13700,-95%,7077,-77.5%,339734,-65.2%
4/1/2020,514201,-91.3%,495400,-79%,10500,-97%,13600,-95%,8151,-74.8%,342222,-63.3%
3/31/2020,509149,-91.2%,514300,-78%,,,,,7672,-74.3%,337626,-62.7%
3/30/2020,546355,-90.2%,563900,-75%,,,,,8084,-71.7%,344690,-61.6%
3/29/2020,264119,-88.3%,306800,-69%,,,,,3374,-80.6%,197154,-75.8%
3/28/2020,332993,-89.8%,403700,-71%,,,,,4491,-74.0%,240702,-74.1%
3/27/2020,658312,-88.2%,641800,-71%,,,,,8409,-70.6%,396778,-59.8%
3/26/2020,681923,-88.2%,646100,-72%,,,,,8795,-71.2%,390117,-59.7%
3/25/2020,691604,-87.9%,618000,-73%,,,,,9512,-69.8%,375767,-59.4%
3/24/2020,743314,-86.9%,657800,-72%,,,,,9133,-69.9%,395493,-56.3%
3/23/2020,711138,-86.9%,578200,-74%,,,,,9902,-65.2%,361514,-59.3%
3/22/2020,409364,-83.1%,378900,-65%,,,,,4824,-73.9%,277051,-68.2%
3/21/2020,620662,-79.5%,564900,-57%,,,,,6467,-60.8%,382993,-56.7%
3/20/2020,1312249,-76.1%,868600,-59%,,,,,12744,-54.7%,563262,-41.6%
3/19/2020,1425564,-74.4%,933600,-57%,,,,,14116,-51.7%,569696,-38.0%
3/18/2020,1629413,-71.4%,1059500,-55%,,,,,15942,-50.0%,634853,-31.2%
3/17/2020,1793359,-68.2%,1094900,-53%,,,,,18173,-40.6%,650445,-28.4%
3/16/2020,2184296,-59.5%,1237300,-45%,,,,,21145,-24.4%,708870,-20.6%
3/15/2020,1159079,-52.4%,711600,-31%,,,,,12480,-31.7%,535988,-36.4%
3/14/2020,1672800,-47.5%,993300,-27%,,,,,13394,-20.9%,631101,-30.2%
3/13/2020,3496765,-38.0%,1715700,-23%,,,,,26640,-8.2%,860419,-13.8%
3/12/2020,4163674,-28.4%,1938400,-18%,,,,,30814,-1.5%,881188,-8.7%
3/11/2020,4712462,-18.5%,2113000,-10%,,,,,32198,0.6%,866706,-6.7%
3/10/2020,4883623,-15.1%,2112000,-9%,,,,,31315,2.1%,855585,-5.8%
3/9/2020,4989635,-10.4%,2124800,-7%,,,,,29609,2.7%,860073,-4.7%
3/8/2020,2122328,0.4%,957200,7%,,,,,19477,13.4%,765084,-0.6%
3/7/2020,2817082,-9.6%,1249100,-9%,,,,,18117,3.7%,827908,-7.6%
3/6/2020,5204732,-8.4%,2066700,-7%,,,,,30970,6.7%,945408,-4.0%
3/5/2020,5513656,-4.4%,2244500,-1%,,,,,33209,7.1%,929298,-0.9%
3/4/2020,5515945,-3.2%,2177200,-3%,,,,,34297,8.7%,905558,-0.1%
3/3/2020,5498556,-3.9%,2228600,-3%,,,,,32767,6.9%,882175,-1.7%
3/2/2020,5347055,23.9%,2209100,40%,,,,,30338,28.2%,874620,27.5%
3/1/2020,2214601,-1.3%,984900,1%,,,,,19922,18.8%,786961,7.8%
